player_id,first_name,last_name,position
1,Marc-André,Ter Stegen,gk
2,Norberto,Murara,gk
3,Iñaki,Peña,gk
4,Arnau,Tenas,gk
5,Junior,Firpo,df
6,Sergiño ,Dest,df
7,Gerard,Piqué,df
8,Ronald,Araújo,df
9,Clément,Lenglet,df
10,Samuel,Umtiti,df
11,Óscar,Mingueza,df
12,Jordi,Alba,df
13,Sergi,Roberto,df
14,Sergio,Busquets,mf
15,Frenkie,De Jong,mf
16,Miralem,Pjani?,mf
17,Riqui,Puig,mf
18,Philippe,Coutinho,mf
19,Pedro,Lopez,mf
20,Ilaix,Moriba,mf
21,Matheus ,Fernandes,mf
22,Ansu,Fati,fw
23,Konard,De La Fuente,fw
24,Ousmane,Dembélé,fw
25,Francisco,Trincão,fw
26,Álex,Collado,fw
27,Martin,Braithwaite,fw
28,Antoine,Griezmann,fw
29,Lionel,Messi,fw
